Date,MSCI Stocks Month
2013-06-01,0.6793801335661342
2013-07-01,1.3717426822911487
2013-08-01,2.0275190887675967
2013-09-01,2.702656479226555
2013-10-01,3.3463600923349355
2013-11-01,3.9721971493987582
2013-12-01,4.588970929111835
2014-01-01,5.190985269093414
2014-02-01,5.816587411155148
2014-03-01,6.4134597998384475
2014-04-01,7.007389834880319
2014-05-01,7.5989692928752195
2014-06-01,8.18128890481743
2014-07-01,8.751167406720825
2014-08-01,9.337426662288822
2014-09-01,9.909407603883848
2014-10-01,10.504936373878726
2014-11-01,11.090385618356477
2014-12-01,11.668457056424794
2015-01-01,12.253361833927016
2015-02-01,12.843558664570036
2015-03-01,13.406415727019027
2015-04-01,13.981740066115192
2015-05-01,14.541211924680706
2015-06-01,15.103553063309043
2015-07-01,15.675903937288828
2015-08-01,16.242283638240345
2015-09-01,16.867006417507046
2015-10-01,17.49673727054046
2015-11-01,18.079766456981535
2015-12-01,18.664520743230455
2016-01-01,19.26591959696424
2016-02-01,19.90426093084229
2016-03-01,20.53905662184914
2016-04-01,21.14876067150344
2016-05-01,21.745547570837424
2016-06-01,22.343326225357227
2016-07-01,22.94564152537048
2016-08-01,23.527825530447124
2016-09-01,24.10802337791311
2016-10-01,24.687508447480294
2016-11-01,25.281346780932395
2016-12-01,25.866607573141405
2017-01-01,26.437028943407622
2017-02-01,26.99463214181957
2017-03-01,27.533326562022765
2017-04-01,28.072791089532757
2017-05-01,28.604002410708432
2017-06-01,29.12399617078331
2017-07-01,29.645799732614424
2017-08-01,30.15331347354896
2017-09-01,30.66201480990737
2017-10-01,31.160850029669223
2017-11-01,31.65076512738279
2017-12-01,32.134003987518966
2018-01-01,32.60940891366481
2018-02-01,33.06138018637071
2018-03-01,33.53985366458581
2018-04-01,34.03040082088395
2018-05-01,34.510300233966966
2018-06-01,34.984415889740035
2018-07-01,35.46470483156744
2018-08-01,35.929959605081415
2018-09-01,36.389624050036595
2018-10-01,36.84662484521798
2018-11-01,37.336597553738116
2018-12-01,37.826467052503645
2019-01-01,38.35727233720106
2019-02-01,38.84999239829835
2019-03-01,39.327011979952175
2019-04-01,39.79610133678376
2019-05-01,40.25692445904474
2019-06-01,40.745623298385
2019-07-01,41.20177773403073
2019-08-01,41.661932898352134
2019-09-01,42.12997060346966
2019-10-01,42.593261730981276
2019-11-01,43.03729766236884
2019-12-01,43.47658776955563
2020-01-01,43.90058966908414
2020-02-01,44.327500414854526
2020-03-01,44.779502331342655
2020-04-01,45.34089953670737
2020-05-01,45.83970489786739
2020-06-01,46.30182919081722
2020-07-01,46.75405800050577
2020-08-01,47.187901244264935
2020-09-01,47.5932107994377
2020-10-01,48.013375335870165
2020-11-01,48.44401259288309
2020-12-01,48.82729974011518
2021-01-01,49.19904142425371
2021-02-01,49.569702832470526
2021-03-01,49.92893694534188
2021-04-01,50.281026066140136
2021-05-01,50.621305639837885
2021-06-01,50.956648796490086
2021-07-01,51.28687797554035
2021-08-01,51.61185823298971
2021-09-01,51.92915134201797
2021-10-01,52.259967166923765
2021-11-01,52.57339373421331
2021-12-01,52.89723002848983
2022-01-01,53.20666181889311
2022-02-01,53.53064079913687
2022-03-01,53.87184922289043
2022-04-01,54.19895982225518
2022-05-01,54.5565714060096
2022-06-01,54.91752620364029
2022-07-01,55.30815883318384
2022-08-01,55.671893074397836
2022-09-01,56.05499814096234
2022-10-01,56.47540467407986
2022-11-01,56.868115952747786
2022-12-01,57.23293565884903
2023-01-01,57.61648154052513
2023-02-01,57.97236102549634
2023-03-01,58.34180231942753
2023-04-01,58.71124361335872
2023-05-01,59.08068490728991
